target,kind,horizon,test_rmse,test_mae,test_r2,train_mean_rmse,zero_return_rmse,direction_accuracy,price_rmse,random_walk_price_rmse,past_volatility_rmse
return_5d,return,5,0.04754660048517204,0.03812259539858664,-0.002280778250012494,0.047524261922311545,0.047643010706561136,0.5013477088948787,4.126505765606426,4.139407435909608,
volatility_5d,volatility,5,0.008224941171790765,0.0064997985027188555,0.09750420363658618,0.008658903985240237,,,,,0.010836815763176324
return_10d,return,10,0.06218151151160921,0.05107287529502017,-0.005028452505564163,0.06212015559253284,0.06246555221335277,0.5382513661202186,5.345870664997355,5.381930728170846,
volatility_10d,volatility,10,0.006155876577519783,0.004867429493346264,0.16098108453459226,0.006736969957052929,,,,,0.007847918995659075
