epoch,train_loss,val_loss
1,1.0125123950151296,0.8524425029754639
2,0.9998703106091573,0.8526807427406311
3,0.998576188316712,0.8534488677978516
4,0.9952006855836282,0.8545758128166199
5,1.0045501922185605,0.8559908866882324
6,0.9937535283657221,0.8567556738853455
7,0.9906299973909671,0.8576055765151978
8,0.9962286651134491,0.8580372333526611
9,0.997579249051901,0.8590508103370667
10,0.9924384527481519,0.8598046898841858
11,1.0149243474006653,0.8610038161277771
12,0.9890487790107727,0.8606105446815491
13,0.996033998636099,0.8615907430648804
14,0.9921677101116914,0.8621420860290527
15,0.998284264252736,0.8621252179145813
16,0.9972716088478382,0.8621712327003479
17,0.9998226715968206,0.8634404540061951
18,0.9958931631766833,0.8629060387611389
19,0.997385499569086,0.8633739948272705
20,0.9950733322363633,0.8638842105865479
21,0.9947766008285376,0.8643482327461243
22,1.0083847527320569,0.8634286522865295
23,0.9920260333097898,0.8637769818305969
24,0.9943506660369726,0.8640105724334717
25,0.991080987911958,0.865710437297821
26,0.9960433302017359,0.8653695583343506
27,0.999064965890004,0.8646467924118042
28,0.9965729850989121,0.8644686937332153
29,0.9905240696210128,0.8650735020637512
30,1.0683993628391852,0.8652467727661133
31,0.9831148764261832,0.866306483745575
32,0.99710590335039,0.8670954704284668
33,0.9877178760675284,0.86607825756073
34,0.9867830746448957,0.8655614256858826
35,0.9963891941767472,0.8664525747299194
36,0.9911538293728461,0.8654764294624329
