lag_from_prediction_day,mean_attention_weight
19,0.041990593
18,0.04497176
17,0.04682548
16,0.047722653
15,0.04811193
14,0.04826727
13,0.048320852
12,0.04832862
11,0.048324898
10,0.048316114
9,0.04831042
8,0.048324212
7,0.04839109
6,0.048562936
5,0.048922043
4,0.049601123
3,0.05094111
2,0.053722188
1,0.05968185
0,0.07236289
