number,value,params_batch_size,params_clip_norm,params_dropout,params_hidden_size,params_lookback,params_lr,params_weight_decay,user_attrs_best_epoch,state
0,0.02486569030527399,128,1.1920859337748042,0.43645943347289745,24,20,0.002595942550311264,6.101491367302707e-05,1,COMPLETE
1,0.02489469214300158,128,1.6742754917979839,0.020902685723998976,24,30,0.001076962247826313,4.273302319375398e-05,1,COMPLETE
2,0.024879352624347414,32,1.821206495727003,0.23403060953001487,24,30,0.0008488762161408717,4.8280425192712865e-05,1,COMPLETE
3,0.02491876817862965,64,0.6378166586080931,0.24421323742121182,32,20,0.000173550564698551,0.00927475763045634,1,COMPLETE
4,0.02492742467505693,128,1.1027653727753137,0.028601257628710637,32,20,0.0003375589571206087,0.0001595303632517332,14,COMPLETE
5,0.02496893361602093,32,1.5844369355231827,0.2863846850687012,16,60,0.00034204353211648276,0.0007606550128725067,2,COMPLETE
6,0.024855594370082546,32,1.0260832406646356,0.24270400886204282,64,60,0.002354054991673985,0.020635492551010704,17,COMPLETE
7,0.0248599205307892,32,0.8114931266885084,0.31635853150283005,32,20,0.00041475896984548505,0.03931812279886735,5,COMPLETE
8,0.024851508705934777,64,1.3749199120090851,0.10892487218017519,64,30,0.0013865582968261494,0.006564597632871667,26,COMPLETE
9,0.024883735473438574,128,0.5337856050481885,0.10192309883907208,32,45,0.0012477547117579705,4.4154623977892926e-05,2,COMPLETE
10,0.02483599955182635,64,0.3265111594193757,0.13653969363284507,8,10,0.00010727948694969789,0.0023316758293956625,1,COMPLETE
11,0.02483619524842103,64,0.4039757737394575,0.12492306169091774,8,10,0.00010780537213262036,0.0030116078424357188,1,COMPLETE
12,0.024836197592083477,64,0.37662958307412125,0.14500322782688677,8,10,0.00010172186224593125,0.0013068651536449487,1,COMPLETE
13,0.024836526874459114,64,0.31996412677439,0.16695062823381712,8,10,0.00010613811611828272,0.001225296693589078,1,COMPLETE
14,0.024851393936968256,64,0.7064119980630736,0.1835364743797296,8,10,0.00019467036261034196,0.0032793162448150753,1,COMPLETE
15,0.024885627802155672,64,0.458132687724186,0.0638272181797738,48,10,0.00017212297631998433,0.0003458501090780709,10,COMPLETE
16,0.024849741439315492,64,0.8039638588477246,0.36921251393401133,8,10,0.00021928058347797465,0.003149797811414572,1,COMPLETE
17,0.024844005447699862,64,0.30822674499309743,0.09070835514414058,8,45,0.0001011577073406628,0.0002328671933128104,1,COMPLETE
18,0.024885855854306103,64,0.5616547096429558,0.19508937008516833,16,10,0.0005055267872368447,1.2508249531741755e-05,3,COMPLETE
19,0.024874147646165055,64,0.8445775499384589,0.13233460606129793,8,10,0.0041005360134437185,0.0032556633145630993,25,COMPLETE
20,0.024903085875205188,64,0.4974561035059535,0.054717839890683045,48,10,0.00014826381050544736,0.01359166559056524,10,COMPLETE
21,0.02483792832641608,64,0.3157182666296655,0.1461725798759677,8,10,0.00012003133436307621,0.000938767277792934,1,COMPLETE
22,0.024865435147765215,64,0.4451551272496198,0.13907234053871273,8,10,0.00028142371034964975,0.0016983723835618978,1,COMPLETE
23,0.024841362486834728,64,0.6646543321208092,0.20530250923792756,8,10,0.00013512975545135078,0.0005557001410932356,1,COMPLETE
24,0.024856273492488954,64,0.37544419431875065,0.07350346839149702,8,10,0.00023204635698792405,0.0020658459734522946,1,COMPLETE
25,0.02484777492932033,64,0.5828696039149927,0.12300812264660695,8,45,0.00013574971563073293,0.005958419908091679,1,COMPLETE
26,0.02483580619738904,64,0.902990002040438,0.16254459300970442,8,60,0.00010248932127181431,0.0004491779503051332,1,COMPLETE
27,0.024982068822959332,64,1.3262736573641651,0.2153351376462665,64,60,0.00023520771587486614,0.0001374113386757288,2,COMPLETE
28,0.02495683756887645,128,0.8851904321483459,0.2868772764862546,48,60,0.00015065474679290045,0.00040578478125339945,6,COMPLETE
29,0.024989248782165248,32,1.0448278545541279,0.44063191854976247,16,60,0.000505556671433046,0.004014708613297564,4,COMPLETE
30,0.024946488026654126,128,1.2690645751796494,0.16516366937160903,24,60,0.00012779757229234597,0.00013328937698048066,7,COMPLETE
31,0.024836362819728695,64,0.42447405417249146,0.15917985372876223,8,10,0.0001008390667727295,0.0013973607520813684,1,COMPLETE
32,0.02484805720744461,64,0.9272558688893077,0.08973523198894827,8,30,0.00010010724331077685,0.0006541120389921223,1,COMPLETE
33,0.02484739425872184,64,0.707401064961572,0.006159831097156676,8,10,0.00017037038998531754,0.0024025427806528897,1,COMPLETE
34,0.024950287517693917,64,1.487803992650523,0.18131650537703778,24,60,0.00014346694701074546,0.005772652340970762,4,COMPLETE
35,0.024858000487433744,64,1.7595893142873438,0.11941592428306376,8,20,0.00019044523722460926,0.0003195079555075098,1,COMPLETE
36,0.02486028227845325,128,1.1529979221176312,0.04415438418075161,8,30,0.00028270246072882257,8.451640392323072e-05,1,COMPLETE
37,0.024949487304556105,32,1.9974443688340155,0.2243366488575788,24,10,0.0001250020866987823,0.0012020238078338638,5,COMPLETE
38,0.024849075021854915,64,0.5957091115796536,0.2686599794983603,8,20,0.0001643506031064663,0.010722474449145944,1,COMPLETE
39,0.024962162883585923,32,0.7517631086561035,0.3981899827350328,16,60,0.00011971423115271567,0.020222857450688095,8,COMPLETE
