number,value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
44,0.024949512983933032,0.6514454424434618,0.9124243825272536,0.005267902882719755,1,2.962125232843373,1172,0.0010508263666555314,2.030662746713663,0.5201560072211238,50,COMPLETE
45,0.024944190695714828,0.7097168531851418,0.480535972395641,0.023028677173360546,1,1.7528742553119898,1378,0.00021787944564573733,0.5204150570803795,0.6290121661508338,151,COMPLETE
46,0.02494232204131803,0.8139811304416025,0.6050796397089991,0.03760385050519099,2,2.2187974712199527,1122,0.002110768393462432,0.3793264458083771,0.5515298682628584,17,COMPLETE
47,0.024945152720439758,0.7481496943401695,0.30184996224842053,0.04660813589013559,4,19.826279757226644,1806,0.0037212234905024443,20.26492624584951,0.8104180967995088,44,COMPLETE
48,0.02494712600488619,0.6283807750311705,0.8052894037628525,0.031648236297568376,5,1.1713599476981937,1701,0.0005064876770821857,0.8538848143868959,0.9283886646560295,136,COMPLETE
49,0.02492364580261112,0.9334780107140064,0.9337307153112525,0.07268293254720838,1,1.5156253827162782,956,0.00093369533638906,0.5865777080458282,0.4795065337741025,44,COMPLETE
50,0.024942276793317283,0.9764313305083099,0.9160916292241162,0.07164991305807902,2,2.890937616727892,744,0.009701576393448645,0.32727257895137835,0.6508335585581964,16,COMPLETE
51,0.024928610557881696,0.9206451538718962,1.0826909687272566,0.05586941001598225,1,1.6232634274441482,1053,0.0011367562897907542,0.6490734016265716,0.4811373684602198,44,COMPLETE
52,0.024934134461270636,0.9272636526337441,1.1112237975423118,0.059419768518737905,1,1.6542056852421292,823,0.000887037520575017,0.5978061990883335,0.5112063174047885,44,COMPLETE
53,0.024924828472234522,0.9117953490455096,1.2194638659563135,0.07034038999010275,1,2.330311007430413,961,0.0002932570278837465,0.4917314022252949,0.48083743594210815,44,COMPLETE
54,0.02492389553382476,0.9269104807765439,1.2783409290641892,0.07345765621743011,1,2.339190790508948,1040,0.0003445015310464231,0.5170820564336648,0.47094145974195584,44,COMPLETE
55,0.02492474779327226,0.9944844959448274,1.2751827799342903,0.07996920264547905,1,2.48154450487883,484,0.0002774839354518598,0.2827692490654668,0.46511230746774573,44,COMPLETE
56,0.02492668739807736,0.963838683498646,1.2759160493892028,0.07987797557668894,1,2.4213049439190217,459,0.00027641664597479425,0.25959980888429507,0.4566007346487673,44,COMPLETE
57,0.024931902957461723,0.8875691529207702,1.252646390259066,0.07288809670490878,1,2.9270243279532617,518,0.00017111705441058293,0.5008674908141107,0.5267951859466781,17,COMPLETE
58,0.024940151864075524,0.9498898554541022,1.6987328878835415,0.07454116125150378,2,4.226873131077855,950,0.00010278077356877582,0.3498599727050324,0.7058676650748816,16,COMPLETE
59,0.02493802395712787,0.881079247748313,1.3494827415653903,0.06083679065804132,1,1.8561392111179718,604,0.00035225301986737144,0.21655085380376712,0.5646228474537371,17,COMPLETE
60,0.024937919070765254,0.9991280913943035,1.459382701823318,0.041343735607787015,1,2.388386527689547,961,0.0005292641459961772,0.2829572565867024,0.5141747624611712,44,COMPLETE
61,0.024928273716511507,0.9354083021063425,1.1639926955988413,0.06570774892435491,1,3.30225551702573,858,0.0001650242960723442,0.45897859316130524,0.46491403272473636,44,COMPLETE
62,0.02492472803986464,0.9037202992538996,1.2253526017895329,0.06861641897422957,1,2.5784919604166534,1132,0.00038109936100893854,0.40889711645756843,0.46954342219837847,44,COMPLETE
63,0.02492945681655932,0.8673486862237867,1.2748575884351523,0.05778077051402613,1,2.686436971832084,1170,0.00033697416143015557,0.3851083122186842,0.4511281975524503,44,COMPLETE
64,0.024924141645656928,0.9127879670732841,1.2088035486865665,0.06921908824115759,1,1.9059805775367336,336,0.0004218027518273499,0.3100733742147248,0.4717538354940012,44,COMPLETE
65,0.02492756593560532,0.9128452443080045,1.5018751632228051,0.07970940082487427,1,3.2777583651532263,317,0.0001882898279677411,0.2914543939918157,0.5030420787009088,44,COMPLETE
66,0.024924296634190147,0.947167779635032,1.3535173398020786,0.07151481935531676,1,1.9788604721625922,417,0.0004071825418513685,0.5603317828151142,0.47097500368189055,44,COMPLETE
67,0.024935044909013136,0.9591605575131918,1.338140815501602,0.07309062313562877,1,1.9956120606664691,356,0.0004480036792299351,0.9432505984849531,0.5648114788467755,17,COMPLETE
68,0.024926541796928006,0.9862166125225371,1.4387523313914106,0.06154744544046642,1,2.6888265107164817,428,0.0005594975335386382,0.5804069326879568,0.47038924761466455,44,COMPLETE
69,0.024940752256341427,0.9409564339671799,1.6194160831689728,0.048244497897799735,2,1.9315713551774338,556,0.0010110399093196513,0.23842579332684058,0.534794836278377,44,COMPLETE
70,0.024933690580637616,0.8993385590293446,1.3314444462643458,0.05264817013650279,1,4.201235322052477,748,0.00041264637840545716,0.4022661595960277,0.5018485489455854,44,COMPLETE
71,0.024926144877802474,0.8517445485763309,1.2128173742275141,0.06983583032618837,1,2.131258589367907,410,0.0003239428588125338,0.32871062435551635,0.4665240835519826,44,COMPLETE
72,0.0249310238144873,0.9076557529793747,1.2227853724711077,0.06689446782748908,1,2.408338173552026,710,0.000137716107791042,0.49091603844702747,0.4951189228793944,44,COMPLETE
73,0.02492712764145696,0.9677049466576865,1.5163856971523515,0.07437965139094199,1,1.5605233432091132,1011,0.00025347186737099644,0.5477085708259223,0.48875011643712785,44,COMPLETE
74,0.02492963237460465,0.9984973918080309,1.4119317243382923,0.05789264739100544,1,1.3467678571252277,900,0.00062925798632707,0.6914872921918944,0.4654657949821898,44,COMPLETE
75,0.0249325132780986,0.8741199795728276,1.1216520366457152,0.0676345152245589,1,2.2966867873364833,1108,0.0002745194164383302,0.3383652912316417,0.5158565427164731,17,COMPLETE
76,0.02492896454601416,0.9426598263828805,1.0063758350816536,0.06108548184898142,1,3.300222869444071,518,0.00039917192412913203,0.44617355137094145,0.45137803712298247,44,COMPLETE
77,0.024923172833505668,0.8320371262242792,1.3172668913052934,0.07562354919580505,1,1.8231896245334502,656,0.0026686817522580827,1.1532320682364385,0.4693767408682523,44,COMPLETE
78,0.024943967840097624,0.8282749796566724,1.932387188810769,0.023373268310861416,1,1.8538409118551185,252,0.0026666994418171777,0.9303663669552426,0.5405600344294192,44,COMPLETE
79,0.024923958079592152,0.8639196370323726,1.6452788210512044,0.07993993430123641,2,2.043316204742442,352,0.001886490524122922,1.2129307503934597,0.46614794706776397,44,COMPLETE
80,0.024942452814248617,0.802110257041654,1.6637591401222354,0.01832289132888578,3,1.5224190127331563,366,0.0019056217038168712,1.3980808090405306,0.4934157357662632,50,COMPLETE
81,0.024952348681019657,0.8536543942032022,1.5259989731531225,0.07611693612781949,2,1.6894473593477843,634,1.846309205689669,1.1216232322427206,0.4682178572847627,0,COMPLETE
82,0.024929707837225264,0.9294832223810598,1.73827963033327,0.07920196894588481,2,2.0276706277967462,487,0.0013968741927944332,1.3296389902139687,0.5150644354487806,17,COMPLETE
83,0.024926002135962064,0.8932343643620457,1.7895286794988872,0.06344403172134996,3,2.6288795454120653,575,0.0008343358130501298,0.6946200153842415,0.46942327943083434,44,COMPLETE
84,0.024931819339223813,0.8619907139553401,1.323215552202727,0.05490028665224849,1,2.084063645443426,342,0.0031446651063848055,1.75028818052618,0.48880147209296465,44,COMPLETE
85,0.02492695641697054,0.9527192411437876,1.4022037261679758,0.06910761948934685,1,1.396932411937649,410,0.0011067508395449788,1.1334853428066465,0.4518037932960592,44,COMPLETE
86,0.0249486745553647,0.8416376911391893,1.8094411046612646,0.006031820693242992,4,1.8012566089675317,692,0.002098291054507993,0.8596955882370398,0.5056995575930978,92,COMPLETE
87,0.024942718368339344,0.9024988286569203,1.060657824367649,0.07517908590558273,1,1.9226413950709664,1324,0.0006105319693439554,0.36592295935222535,0.7880617742428628,44,COMPLETE
88,0.02492622010189484,0.7932417095917502,1.867932929143695,0.06406639336800826,2,1.2774852734082054,279,0.0008394037243894526,0.30348996765126834,0.474675192673631,44,COMPLETE
89,0.024941513057444367,0.9231767475266983,1.2858230899345804,0.06791094857092753,1,2.474515082733218,1444,0.00492836936425941,0.5599168369453547,0.8871842577539106,118,COMPLETE
90,0.024940141541969742,0.9775932614787588,1.5690829271905748,0.03466402271047693,2,1.5042855390846044,785,0.001530833586783137,0.42449974644824906,0.5234484841985019,44,COMPLETE
91,0.024927250931382875,0.9166818923450293,1.194256074963433,0.07200836621014028,1,2.7517077461365265,1176,0.00019703301380521958,0.4887493118089642,0.48432194218798225,44,COMPLETE
92,0.024924768780487227,0.8827672949975759,1.140957898171121,0.07989002951465007,1,2.33461580846002,918,0.00014224623509079555,0.6405484244394982,0.4651287726385913,44,COMPLETE
93,0.024925067848562712,0.8245859868255617,1.1111774124935725,0.07624474117871098,1,2.1893917666981673,1016,0.00012180081527391165,0.6231365432410707,0.461898226803135,44,COMPLETE
94,0.024926476023444454,0.8816434509982226,0.9670662837792394,0.07963248805533131,1,1.682306527699197,912,0.00015669145028333778,0.7555558682065331,0.49340371106531977,44,COMPLETE
95,0.0249449880814894,0.8690097151725069,1.1637710082311832,0.057854923518269645,1,11.619161691218975,463,0.00020848676532159193,0.9884438150031031,0.8588304494592476,118,COMPLETE
96,0.024925817500478117,0.9461747433591892,1.3880653251985329,0.06336249980648688,1,3.161508938111841,1081,0.00038706692858242556,0.6514677224590241,0.4722324731661685,44,COMPLETE
97,0.02493189658704186,0.9848830568672005,1.3140295544527847,0.04962144324013976,1,1.0684658352953746,1263,0.0007084822848941909,0.2591219301723602,0.45977526587969336,44,COMPLETE
98,0.024931358941643406,0.8989382179813381,1.1474053464912273,0.07198800968536215,1,2.5460466667487465,663,0.00010043289194471742,0.41246335350367985,0.510686870241706,44,COMPLETE
99,0.024948475851759338,0.9668673709615598,1.031851857867402,0.013399925675775705,1,2.826425282557441,387,0.002394270346394953,0.22795137495044349,0.6031236723927345,151,COMPLETE
