lag_from_prediction_day,mean_attention_weight
29,0.03483198
28,0.034053896
27,0.033632565
26,0.033408098
25,0.033287082
24,0.033221897
23,0.0331854
22,0.03316569
21,0.03315532
20,0.03315114
19,0.033151064
18,0.03315304
17,0.033156525
16,0.033161238
15,0.033166118
14,0.033170752
13,0.03317405
12,0.033175632
11,0.033176083
10,0.033176273
9,0.033174727
8,0.03317282
7,0.033171203
6,0.033172164
5,0.033175934
4,0.03318755
3,0.033223845
2,0.03331506
1,0.033544417
0,0.03410839
