epoch,train_loss,val_loss
1,0.9894078108999464,0.872840940952301
2,0.9760545083770046,0.867961585521698
3,0.9672416901146924,0.8806416392326355
4,1.007042122107965,0.8785646557807922
5,0.9712570199260006,0.8695195317268372
6,0.9649449868334664,0.9003761410713196
7,0.9690436996795513,0.8775890469551086
8,0.9971087585996699,0.8806622624397278
9,0.9802204171816508,0.9008463621139526
10,0.9777966207928128,0.8852131366729736
11,0.9774279495080312,0.8878817558288574
12,0.9586381487272404,0.8825215697288513
13,0.9740092312848126,0.8806233406066895
14,0.9712410458812007,0.8960579633712769
15,0.9751375030588221,0.8877519965171814
16,0.9760742397220047,0.8814019560813904
17,0.9647555439560501,0.8994078040122986
18,0.9769188485763691,0.8715023994445801
19,0.9603793908048559,0.8914533257484436
20,0.9607101546393501,0.8869665265083313
21,1.1374933962468747,0.8735526204109192
22,0.9670453215086902,0.8780636787414551
23,0.969196473006849,0.8896639943122864
24,0.9706172678205702,0.8928574919700623
25,0.9667293462488387,0.8802993893623352
26,0.9475539437046757,0.8922408819198608
27,0.9639049470424652,0.8771346211433411
28,0.9426437693613546,0.878787100315094
29,0.9563695148185447,0.9031745195388794
30,0.968539219211649,0.8800114989280701
31,0.961340234235481,0.8900784254074097
32,0.944732258717219,0.8880324363708496
33,0.9798234480398672,0.8806240558624268
34,0.9625428065105721,0.8824743628501892
35,0.9597500595781538,0.8973032236099243
36,0.9543536150896991,0.8848702907562256
37,0.9488713503987701,0.8853216767311096
